"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\paska\Unity\Hexogram\Assets\Scripts\Buttons\Go_Back_Button.cs", "C#", 38, 0, 11, 49
"Total", "-", 38, 0, 11, 49
